Collection Name,Title,Part,Name,Name URI,Resource Type,Resource Type URI,Genre,Genre URI,Place Created,Publisher,Date Issued,Date Created,Date Captured,Edition,Issuance,Frequency,Language Term,Language Term URI,Language Term Type,Extent,Physical Description Note,Form#1,Form URI#1,Form#2,Form URI#2,Internet Media Type,Digital Origin,Abstract,Table of Contents,Note,Note Type,Subject Topic#1,Subject Topic URI#1,Subject Topic#2,Subject Topic URI#2,Subject Topic#3,Subject Topic URI#3,Subject Topic#4,Subject Topic URI#4,Subject Topic#5,Subject Topic URI#5,Subject Topic#6,Subject Topic URI#6,Subject Name#1,Subject Name URI#1,Subject Name#2,Subject Name URI#2,Subject Name#3,Subject Name URI#3,Subject Name#4,Subject Name URI#4,Subject Geographic#1,Subject Geographic URI#1,Subject Temporal#1,Subject Temporal URI#1,Subject Title#1,Subject Title URI#1,Subject Genre#1,Subject Genre URI#1,Identifier,Identifier LUNA,Identifier ARK,Physical Location,Physical Location Type,Shelf Locator,Related Item,Related Item Type,Related Item Identifier,Related Item Location,Access Condition,Access Condition URI
CU Museum of Natural History: Earl Morris papers,"Axtell, Lane",,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Mixed material,http://id.loc.gov/vocabulary/resourceTypes/mix,Personal correspondence,http://id.loc.gov/authorities/genreForms/gf2014026141,,,,1931/1953,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,1 Folders,,multimedia works,http://vocab.getty.edu/page/aat/300047910,,,application/pdf,reformatted digital,"This file contains correspondence between Earl Morris, Lane Axtell, Ann Morris' brother, and Mary Axtell, Lane's wife. Axtell worked for a number of firms in the wealth management industry and assisted Ann and Earl Morris with their finances over the course of his career. The bulk of the correspondence is related to these financial matters. Stock market investments and Earl's retirement funds are a recurring topic. Following the event of Ann's death in 1945, the letters increasingly contain greetings and plans for social visits between families and provide understanding about their daily lives and ongoing problems including health issues. Ann and Earl's two daughers, Sarah Lane Morris and Elizabeth Ann Morris, are frequently discussed.",,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Money--Management,http://id.worldcat.org/fast/1025288,Banks and banking,http://id.worldcat.org/fast/826867,,,,,,,,,"Aztec (San Juan, New Mexico, United States, North America) (civil)",GNIS: 898624,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM01_004.pdf,,,CU Museum of Natural History,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Museum of Natural History: Earl Morris papers,"Morris, Ann Axtell",,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Mixed material,http://id.loc.gov/vocabulary/resourceTypes/mix,Personal correspondence,http://id.loc.gov/authorities/genreForms/gf2014026141,,,,1923/1940,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,1 Folders,,multimedia works,http://vocab.getty.edu/page/aat/300047910,,,application/pdf,reformatted digital,This file contains five dated items of corresponence as well as two items which are not explicitly correspondence but which may have been included with letters that are now missing. The two non-correspondence items are a narrative about Ann presumably written by Earl and a description of a traffic accident in which Ann was involved.,,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Families,http://id.worldcat.org/fast/1728849,Money--Management,http://id.worldcat.org/fast/1025288,"Morris, Ann Axtell, 1900-1945",http://id.loc.gov/authorities/names/n97083815,,,,,,,"New Mexico (United States, North America) (first order administrative divisions)",http://id.loc.gov/authorities/names/n79005595,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM01_068.pdf,,,CU Museum of Natural History,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Museum of Natural History: Earl Morris papers,Morris Family,,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Personal correspondence,http://id.loc.gov/authorities/genreForms/gf2014026141,,,,1897/1961,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,1 Folders,,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,,,application/pdf,reformatted digital,"This file contains correspondence from a number of parties across a wide date range. The bulk of the file are letters from Earl Morris and Lucille Bowman, Earl's second wife, written to the Bowman family. Two items relate to Florence Lister and Robert Lister's effort to gather information on Earl for their biographical book project. Notably, three early items of correspondence are to or from Scott Morris or Ettie Morris, Earl's parents.",,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Families,http://id.worldcat.org/fast/1728849,,,,,,,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM01_069.pdf,,,CU Museum of Natural History,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Museum of Natural History: Earl Morris papers,"Letter, E. P. Leavitt to Earl H. Morris, 1934 December 7",,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Personal correspondence,http://id.loc.gov/authorities/genreForms/gf2014026141,,,,1934-12-07,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,1 Pages,,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,,,application/pdf,reformatted digital,E. P. Leavitt writes to to inform Morris of an attached book of photographs and report which detail repairs conducted at Aztec Ruins.,,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Extinct cities,http://id.worldcat.org/fast/918959,,,United States. National Park Service,http://id.worldcat.org/fast/530450,,,,,,,"Mancos (Montezuma, Colorado, United States, North America) (populated place)",GNIS: 179088,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM02.02_001_001.pdf,,,CU Museum of Natural History,,,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. ",http://rightsstatements.org/vocab/UND/1.0/
CU Museum of Natural History: Earl Morris papers,"...Excavations near Aztec, San Juan Country, New Mexico: Catalogue of specimens",,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1915-08,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,6 Pages,,catalogs (documents),http://vocab.getty.edu/page/aat/300026059,,,application/pdf,reformatted digital,"Original title: St. Louis Society, Archaeological Institute of America. Excavations near Aztec, San Juan County, New Mexico, August, 1915. Earl Morris in Charge. Catalogue of Specimens.",,Morris details 86 items in this catalogue and includes limited provenience data. Page 6 is a duplicate of page 5.,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Relics,http://id.worldcat.org/fast/1093664,,,,,,,,,,,"Aztec (San Juan, New Mexico, United States, North America) (civil)",GNIS: 898624,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM02.02_002_001.pdf,,,CU Museum of Natural History,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Museum of Natural History: Earl Morris papers,Sandal Catalogue: Aztec ruin,,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,Undated,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,4 Pages,,catalogs (documents),http://vocab.getty.edu/page/aat/300026059,,,application/pdf,reformatted digital,Sandals are listed with an identifying number and provienence information.,,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Relics,http://id.worldcat.org/fast/1093664,Sandals,http://id.worldcat.org/fast/1104902,,,,,,,,,"Aztec (San Juan, New Mexico, United States, North America) (civil)",GNIS: 898624,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM02.02_002_002.pdf,,,CU Museum of Natural History,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Museum of Natural History: Earl Morris papers,Specimen Catalogue: Aztec Ruin,,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,Undated,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,114 Pages,,catalogs (documents),http://vocab.getty.edu/page/aat/300026059,,,application/pdf,reformatted digital,"Catalogue contains entries for objects 1-5583 from the years 1916-1919. This typewritten catalogue compiles information from five handwritten catalogue books also located in file, EHM02.02_002_002.",,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Relics,http://id.worldcat.org/fast/1093664,Specimens,http://id.worldcat.org/fast/1423861,,,,,,,,,"Aztec (San Juan, New Mexico, United States, North America) (civil)",GNIS: 898624,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM02.02_002_003.pdf,,,CU Museum of Natural History,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Museum of Natural History: Earl Morris papers,Index to Sp. Cat. Aztec Ruin,,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,Undated,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,11 Pages,,field notes,http://vocab.getty.edu/page/aat/300027201,,,application/pdf,reformatted digital,"A list of room numbers (e.g. Room XX, Kiva C, Room 12 S. Wing) and pages on which they can be found for catalogue books 1-5, EHM02.02_002_004-008.",,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Extinct cities,http://id.worldcat.org/fast/918959,,,,,,,,,,,"Aztec (San Juan, New Mexico, United States, North America) (civil)",GNIS: 898624,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM02.02_002_009.pdf,,,CU Museum of Natural History,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Museum of Natural History: Earl Morris papers,Aztec Ruin Specimens turned over to Boundy,,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,Undated,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,5 Pages,,relic inventories,http://vocab.getty.edu/page/aat/300263315,,,application/pdf,reformatted digital,Inventory of objects and individuals from Aztec Ruin turned over to Boundy.,,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Relics,http://id.worldcat.org/fast/1093664,Specimens,http://id.worldcat.org/fast/1423861,,,,,,,,,"Aztec (San Juan, New Mexico, United States, North America) (civil)",GNIS: 898624,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM02.02_002_010.pdf,,,CU Museum of Natural History,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Museum of Natural History: Earl Morris papers,"Letter, Clark Wissler to Earl H. Morris, 1931 February 20",,"Morris, Earl Halstead, 1889-1956","
http://id.loc.gov/authorities/names/n80004158",Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Personal correspondence,http://id.loc.gov/authorities/genreForms/gf2014026141,,,,1931-02-20,2020,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,ISO639-2,2 Pages,,letters (correspondence),http://vocab.getty.edu/page/aat/300026879,,,application/pdf,reformatted digital,,,,,Excavations (Archaeology),http://id.worldcat.org/fast/917564,Dendrochronology,http://id.worldcat.org/fast/890285,Mayas--Antiquities,http://id.worldcat.org/fast/1012778,"Southwest, New--Antiquities",http://id.loc.gov/authorities/subjects/sh85125670,Relics,http://id.worldcat.org/fast/1093664,Specimens,http://id.worldcat.org/fast/1423861,"Wissler, Clark, 1870-1947",http://id.loc.gov/authorities/names/n50014434,American Museum of Natural History. Anthropology Division,http://id.loc.gov/authorities/names/n2003010362,,,,,"Aztec (San Juan, New Mexico, United States, North America) (civil)",GNIS: 898624,Twentieth century,http://id.loc.gov/authorities/subjects/sh85139020,,,,,EHM02.02_002_011.pdf,,,CU Museum of Natural History,,,,,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
